,DateTimeInterval,LotNumber,ActiveCarsCount
316156,2022-06-09 20:00:00,20,3
568285,2025-03-24 23:00:00,9,2
959776,2022-04-10 15:00:00,65,0
329046,2023-11-28 22:00:00,20,16
363490,2023-07-06 01:00:00,60,4
1046146,2023-06-21 07:00:00,90,0
375133,2024-11-02 04:00:00,60,1
7280,2021-10-31 08:00:00,21,1
278092,2022-06-04 21:00:00,11,14
457618,2021-04-05 22:00:00,99,1
780516,2023-06-20 16:00:00,24,37
182660,2024-07-10 16:00:00,50,112
625424,2023-02-02 16:00:00,14,50
757884,2025-03-19 17:00:00,40,114
444710,2024-02-13 03:00:00,13,4
707748,2023-10-28 18:00:00,4,0
170357,2023-02-14 01:00:00,50,88
1095423,2024-10-05 11:00:00,94,0
755081,2024-11-22 22:00:00,40,118
1065794,2021-05-19 22:00:00,94,0
301922,2025-02-21 19:00:00,11,84
173239,2023-06-14 03:00:00,50,70
705833,2023-08-09 23:00:00,4,1
665758,2023-05-13 05:00:00,56,1
152585,2021-02-03 13:00:00,50,43
1080628,2023-01-28 00:00:00,94,0
664639,2023-03-27 14:00:00,56,9
850763,2022-10-28 13:00:00,18,41
445874,2024-04-01 15:00:00,13,126
325277,2023-06-24 21:00:00,20,4
108193,2024-09-07 23:00:00,80,16
95586,2023-04-01 16:00:00,80,81
63523,2023-12-02 18:00:00,97,9
580090,2022-03-31 19:00:00,33,2
1071443,2022-01-10 07:00:00,94,0
501216,2021-11-27 11:00:00,3,6
183115,2024-07-29 15:00:00,50,76
147563,2024-11-06 08:00:00,70,80
363491,2023-07-06 02:00:00,60,0
26083,2023-12-23 19:00:00,21,3
350411,2022-01-07 02:00:00,60,1
605616,2025-02-27 09:00:00,33,5
468207,2022-06-21 03:00:00,99,0
900385,2024-02-27 02:00:00,8,12
196280,2021-10-01 03:00:00,30,55
44947,2021-10-19 18:00:00,97,8
446219,2024-04-16 00:00:00,13,29
553224,2023-07-06 10:00:00,9,6
989670,2021-05-10 04:00:00,38,0
224817,2025-01-02 04:00:00,30,25
247049,2023-03-19 11:00:00,10,66
1079081,2022-11-24 13:00:00,94,0
